TIME,BCMU_A429_In_1_L312_Groundspeed_1,BCMU_A429_In_1_L312_Groundspeed_2,BCMU_A429_In_1_L274_RightMLG_WOW,BCMU_A429_In_1_L274_LeftMLG_WOW,BCMU_A429_OUT_1_L351_PARK_BRK_ON_BCMU,BCMU_A429_Out_1_L70_Left_INBD_Brake_Pressure_BCMU,BCMU_A429_Out_1_L71_Right_INBD_Brake_Pressure_BCMU,BCMU_A429_Out_1_L72_Left_OUTBD_Brake_Pressure_BCMU,BCMU_A429_Out_1_L73_Right_OUTBD_Brake_Pressure_BCMU,BCMU_A429_Out_1_L004_Left_INBD_Wheelspeed_BCMU,BCMU_A429_Out_1_L005_Right_INBD_Wheelspeed_BCMU,BCMU_A429_Out_1_L006_Left_OUTBD_Wheelspeed_BCMU,BCMU_A429_Out_1_L007_Right_OUTBD_Wheelspeed_BCMU,BCMU_A429_Out_1_L114_Left_INBD_Brake_Temperature_BCMU,BCMU_A429_Out_1_L115_Right_INBD_Brake_Temperature_BCMU,BCMU_A429_Out_1_L116_Left_OUTBD_Brake_Temperature_BCMU,BCMU_A429_Out_1_L117_Right_OUTBD_Brake_Temperature_BCMU
2020-06-01 10:07:42.843750,0.0,0.015625,0.0,0.0,1.0,3047.0,3041.0,3041.0,3042.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:42.875000,0.0,0.015625,0.0,0.0,1.0,3047.0,3041.0,3041.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:42.906250,0.0,0.015625,0.0,0.0,1.0,3047.0,3041.0,3041.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.000000,0.0,0.015625,0.0,0.0,1.0,3045.0,3042.0,3040.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.062500,0.0,0.015625,0.0,0.0,1.0,3045.0,3039.0,3040.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.093750,0.0,0.015625,0.0,0.0,1.0,3045.0,3039.0,3040.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.156250,0.0,0.015625,0.0,0.0,1.0,3044.0,3039.0,3039.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.250000,0.0,0.015625,0.0,0.0,1.0,3042.0,3042.0,3038.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.343750,0.0,0.015625,0.0,0.0,1.0,3042.0,3041.0,3039.0,3047.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.375000,0.0,0.015625,0.0,0.0,1.0,3045.0,3041.0,3039.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.406250,0.0,0.015625,0.0,0.0,1.0,3045.0,3041.0,3041.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.437500,0.0,0.015625,0.0,0.0,1.0,3045.0,3043.0,3041.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.500000,0.0,0.015625,0.0,0.0,1.0,3046.0,3043.0,3040.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.531250,0.0,0.015625,0.0,0.0,1.0,3046.0,3037.0,3040.0,3044.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.593750,0.0,0.015625,0.0,0.0,1.0,3046.0,3037.0,3040.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.687500,0.0,0.015625,0.0,0.0,1.0,3044.0,3041.0,3042.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.750000,0.0,0.015625,0.0,0.0,1.0,3044.0,3044.0,3041.0,3043.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.781250,0.0,0.015625,0.0,0.0,1.0,3044.0,3044.0,3041.0,3045.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.875000,0.0,0.015625,0.0,0.0,1.0,3045.0,3045.0,3039.0,3042.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.937500,0.0,0.015625,0.0,0.0,1.0,3045.0,3042.0,3040.0,3042.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:43.968750,0.0,0.015625,0.0,0.0,1.0,3047.0,3042.0,3040.0,3042.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:44.062500,0.0,0.015625,0.0,0.0,1.0,3046.0,3047.0,3041.0,3039.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:44.125000,0.0,0.015625,0.0,0.0,1.0,3046.0,3042.0,3036.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:44.156250,0.0,0.015625,0.0,0.0,1.0,3045.0,3042.0,3036.0,3046.0,0.0,0.0,0.0,0.0,23.0,23.0,25.0,24.0
2020-06-01 10:07:44.187500,0.0,0.015625,0.0,0.0,1.0,3045.0,3042.0,3036.0,3044.0,0.0,0.0,0.0,0.0,24.0,23.0,25.0,24.0
2020-06-01 10:07:44.250000,0.0,0.015625,0.0,0.0,1.0,3046.0,3040.0,3039.0,3044.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.312500,0.0,0.015625,0.0,0.0,1.0,3046.0,3040.0,3049.0,3044.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.343750,0.0,0.015625,0.0,0.0,1.0,3046.0,3041.0,3049.0,3044.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.406250,0.0,0.015625,0.0,0.0,1.0,3044.0,3041.0,3043.0,3046.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.468750,0.0,0.015625,0.0,0.0,1.0,3047.0,3042.0,3043.0,3046.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.500000,0.0,0.015625,0.0,0.0,1.0,3047.0,3042.0,3042.0,3045.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.593750,0.0,0.015625,0.0,0.0,1.0,3043.0,3042.0,3042.0,3040.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.656250,0.0,0.015625,0.0,0.0,1.0,3047.0,3042.0,3042.0,3040.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.718750,0.0,0.015625,0.0,0.0,1.0,3047.0,3042.0,3039.0,3044.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.750000,0.0,0.015625,0.0,0.0,1.0,3045.0,3040.0,3039.0,3044.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.812500,0.0,0.015625,0.0,0.0,1.0,3045.0,3040.0,3042.0,3042.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.875000,0.0,0.015625,0.0,0.0,1.0,3043.0,3040.0,3042.0,3045.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:44.906250,0.0,0.015625,0.0,0.0,1.0,3043.0,3040.0,3037.0,3045.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:45.062500,0.0,0.015625,0.0,0.0,1.0,3037.0,3043.0,3038.0,3044.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:45.093750,0.0,0.015625,0.0,0.0,1.0,3037.0,3043.0,3038.0,3045.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:45.125000,0.0,0.015625,0.0,0.0,1.0,3037.0,3042.0,3039.0,3045.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:45.250000,0.0,0.015625,0.0,0.0,1.0,3044.0,3048.0,3052.0,3042.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:45.281250,0.0,0.015625,0.0,0.0,1.0,3044.0,3048.0,3052.0,3046.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
2020-06-01 10:07:45.343750,0.0,0.015625,0.0,0.0,1.0,3044.0,3043.0,3048.0,3046.0,0.0,0.0,0.0,0.0,24.0,23.0,26.0,23.0
